item,itemLabel
http://www.wikidata.org/entity/Q270620,Rose Troche
http://www.wikidata.org/entity/Q272678,Mary Lambert
http://www.wikidata.org/entity/Q282033,Martin Campbell
http://www.wikidata.org/entity/Q282265,Jesse Hibbs
http://www.wikidata.org/entity/Q283041,Christopher Hale
http://www.wikidata.org/entity/Q284636,Jason Bateman
http://www.wikidata.org/entity/Q285084,Mamoru Oshii
http://www.wikidata.org/entity/Q285339,Giorgio Albertazzi
http://www.wikidata.org/entity/Q286371,John Cassaday
http://www.wikidata.org/entity/Q286690,Adrian Paul
http://www.wikidata.org/entity/Q289055,Elliot Silverstein
http://www.wikidata.org/entity/Q290744,Jeff Marsh
http://www.wikidata.org/entity/Q295912,Tom Hooper
http://www.wikidata.org/entity/Q296774,Mark Harmon
http://www.wikidata.org/entity/Q298025,Joss Whedon
http://www.wikidata.org/entity/Q298352,Lindsay Anderson
http://www.wikidata.org/entity/Q298388,Noël Coward
http://www.wikidata.org/entity/Q298854,Heather Tom
http://www.wikidata.org/entity/Q298908,Patrick McGoohan
http://www.wikidata.org/entity/Q299309,Peter MacNicol
http://www.wikidata.org/entity/Q309715,Roland Joffé
http://www.wikidata.org/entity/Q310217,David Hemmings
http://www.wikidata.org/entity/Q310394,Alan Alda
http://www.wikidata.org/entity/Q312088,Mike Newell
http://www.wikidata.org/entity/Q312570,LeVar Burton
http://www.wikidata.org/entity/Q312988,David Yates
http://www.wikidata.org/entity/Q313020,Dominic West
http://www.wikidata.org/entity/Q313095,James Lafferty
http://www.wikidata.org/entity/Q313367,Gary Coleman
http://www.wikidata.org/entity/Q314301,Peter Yates
http://www.wikidata.org/entity/Q314485,Edward Burns
http://www.wikidata.org/entity/Q315756,Mike Leigh
http://www.wikidata.org/entity/Q316622,Stephen Moyer
http://www.wikidata.org/entity/Q317194,Nathan Kress
http://www.wikidata.org/entity/Q318267,Eric Stoltz
http://www.wikidata.org/entity/Q318607,Richard Crenna
http://www.wikidata.org/entity/Q320178,John Roberts
http://www.wikidata.org/entity/Q320185,Eugene Mirman
http://www.wikidata.org/entity/Q320259,Kevin Connor
http://www.wikidata.org/entity/Q323076,Shawn Levy
http://www.wikidata.org/entity/Q323647,Tommy Bond
