writer	producer	coop
nm0023897	nm1548657	1
nm0023897	nm3319782	1
nm0023897	nm3640424	1
nm0024169	nm0496556	3
nm0024169	nm0555684	1
nm0024169	nm0738526	1
nm0024169	nm1144729	1
nm0024718	nm0205497	1
nm0024718	nm0834426	3
nm0024718	nm1472469	1
nm0024718	nm1857131	1
nm0024856	nm0688789	2
nm0024925	nm0728619	1
nm0025749	nm0476600	1
nm0025811	nm0248336	1
nm0025811	nm0333335	1
nm0025811	nm0483091	2
nm0025811	nm0581676	1
nm0025811	nm1444455	1
nm0026369	nm7957460	1
nm0026968	nm0521753	1
nm0026968	nm0539103	1
nm0026968	nm0815432	1
nm0027306	nm0825190	1
nm0027442	nm1106444	1
nm0027526	nm1340224	2
nm0028380	nm0261999	1
nm0028380	nm0646898	1
nm0028380	nm0646899	1
nm0028982	nm0081960	1
nm0028982	nm0135235	1
nm0028982	nm0302127	1
nm0028982	nm0625950	1
nm0028982	nm0946901	1
nm0028982	nm1332931	1
nm0029445	nm0434838	1
nm0029556	nm0004079	1
nm0029556	nm0004223	1
nm0029556	nm0081960	1
nm0029556	nm0172670	1
nm0029556	nm0188312	1
nm0029556	nm0290735	1
nm0029556	nm0734165	1
nm0029556	nm0753382	1
nm0029556	nm0765956	1
nm0029556	nm0850888	1
nm0029556	nm1420267	1
nm0029646	nm0024948	1
nm0029646	nm0482682	1
nm0029646	nm0713514	1
nm0029646	nm0834426	2
nm0029646	nm0859808	1
nm0031011	nm0240548	1
nm0031011	nm0392146	1
nm0031011	nm0684919	1
nm0031011	nm1334218	1
nm0031028	nm1691098	1
nm0031078	nm1660886	1
nm0031976	nm0382282	2
nm0031976	nm0398851	1
nm0031976	nm0673400	1
nm0031976	nm0918441	1
nm0031976	nm0918515	1
nm0031976	nm2692147	1
nm0031976	nm3319021	1
nm0032219	nm0338965	1
nm0032219	nm0677725	1
nm0032219	nm0851740	1
nm0032219	nm1180074	1
nm0032227	nm0002472	1
nm0032227	nm0135235	2
nm0032227	nm0475970	1
nm0032227	nm0556163	1
nm0032227	nm0654024	1
nm0032227	nm0872823	1
nm0032566	nm0561802	1
nm0032566	nm0738526	1
nm0032566	nm3152781	1
nm0032696	nm0496556	3
nm0033154	nm0250621	1
nm0033154	nm0400233	1
nm0033154	nm0603286	1
nm0033154	nm0663764	6
nm0033154	nm1121466	1
nm0033154	nm1121467	1
nm0033154	nm2637622	3
nm0034359	nm0006552	1
nm0034359	nm0279092	1
nm0034359	nm0313514	1
nm0034359	nm0620743	1
nm0034359	nm0721019	1
nm0034359	nm0861638	1
nm0034359	nm0957670	2
nm0034359	nm0959567	1
nm0034359	nm2232862	1
nm0035024	nm0268266	1
nm0035024	nm1691098	1
nm0036169	nm0695643	1
nm0036169	nm1003804	2
nm0036559	nm0316459	1
nm0036559	nm0859970	1
nm0036950	nm0270966	1
nm0036961	nm0240794	1
nm0036961	nm1003823	1
nm0038933	nm0000776	1
nm0038933	nm0695219	1
nm0038933	nm0742098	2
nm0038933	nm0765956	1
nm0038933	nm0901130	1
nm0038933	nm7162046	4
nm0039101	nm0056205	1
nm0039101	nm0125024	1
nm0039101	nm0366818	1
nm0039101	nm0589696	1
nm0039101	nm0827670	1
nm0039101	nm0855105	1
nm0040612	nm1273119	1
nm0041179	nm0795533	2
nm0041469	nm0143984	1
nm0041469	nm0313394	1
nm0041469	nm0319666	2
nm0041469	nm0326177	1
nm0041469	nm0516623	1
nm0041469	nm0543128	1
nm0041469	nm0919043	1
nm0041864	nm0738700	1
nm0042006	nm0119946	1
nm0044058	nm1077721	2
nm0044828	nm0140078	1
nm0044828	nm0168189	1
nm0044828	nm0278129	1
nm0044828	nm0658402	1
nm0044828	nm0887184	1
nm0044828	nm1131421	1
nm0044828	nm1941358	1
nm0046017	nm0650346	1
nm0046017	nm1140110	1
nm0046017	nm1474176	1
nm0046263	nm0136398	1
nm0046263	nm2175494	1
nm0046371	nm0011260	1
nm0046371	nm0057463	2
nm0046371	nm0213928	2
nm0047076	nm0800358	1
nm0047489	nm0789443	1
nm0047976	nm0140078	2
nm0047976	nm0178381	2
nm0047976	nm0335344	2
nm0047976	nm0799886	1
nm0047976	nm1373881	1
nm0047976	nm2385621	1
nm0048169	nm0497661	1
nm0048802	nm0117095	1
nm0048802	nm1017665	2
nm0048802	nm1483253	1
nm0048802	nm1559263	1
nm0048802	nm9632710	1
nm0048832	nm0055999	1
nm0048832	nm0463199	1
nm0048832	nm1244330	1
nm0048832	nm1340224	4
nm0049569	nm0217907	4
nm0049569	nm0321334	2
nm0049569	nm0332434	2
nm0049569	nm0425506	1
nm0049569	nm0450715	1
nm0049569	nm0458318	1
nm0049569	nm0738700	7
nm0049569	nm0857714	1
nm0049569	nm0998318	1
nm0049569	nm1930215	1
