nconst	closeness	betweenness	degree	primaryName	gender
nm0066313	0.21165979837489232	0.0	0.0006261740763932373	Adam Beechen	male
nm0066542	0.22360233170179797	0.0	0.0006261740763932373	Julie Beers	female
nm0066764	0.22130528980744418	0.0	0.0006261740763932373	Michael Begler	male
nm0066864	0.3022776392352452	0.000498971818485013	0.0012523481527864746	Bryan Behar	male
nm0066985	0.3249687220732797	0.0017979925907803116	0.005009392611145898	Ira Steven Behr	male
nm0067234	0.32108925228693536	0.0007091293730936502	0.002504696305572949	Hans Beimler	male
nm0067619	0.28931037774878277	0.00035601252479028887	0.0018785222291797118	Stephen Belber	male
nm0068074	0.17465562621275288	6.34110690867103e-07	0.0012523481527864746	Bradley Bell	male
nm0068272	0.34758172433569107	0.004508878528346655	0.005635566687539136	Jeffrey Bell	male
nm0068347	0.21827654925688492	0.005340412658839783	0.0031308703819661866	Lee Phillip Bell	female
nm0068578	0.221715484232861	0.004305794297058096	0.0031308703819661866	Warren Bell	male
nm0068589	0.17849639708625395	0.00041629996383806694	0.0031308703819661866	William J. Bell	male
nm0069074	0.3063108595303076	0.0009349075197819577	0.0068879148403256105	Donald P. Bellisario	male
nm0069257	0.2857277556023509	0.0002822542936579091	0.002504696305572949	John Bellucci	male
nm0069547	0.23055463975045015	0.0	0.0006261740763932373	Jerry Belson	male
nm0070142	0.2818303003999132	0.001610628920365327	0.004383218534752661	Roberto Benabib	male
nm0072062	0.2568732163544404	0.0	0.0006261740763932373	Shaz Bennett	female
nm0072412	0.3659086335278728	0.031027238027229294	0.011271133375078271	Tyler Bensinger	male
nm0072589	0.24840833948137825	9.629642217067079e-05	0.0012523481527864746	Michael Benson	male
nm0073492	0.25980966534251665	1.7689049636772638e-06	0.0012523481527864746	Glenn Berenbeim	male
nm0073504	0.30371162262386	0.0006613842035068937	0.0031308703819661866	Dan Berendsen	male
nm0073693	0.30268020642583654	0.0002238658596558154	0.0018785222291797118	Amy Berg	female
nm0073790	0.27825900645832696	0.0	0.0006261740763932373	James Berg	male
nm0074165	0.24959503610356093	4.053656699187366e-05	0.0012523481527864746	Elizabeth Berger	female
nm0074184	0.22446359349151873	8.617297281330444e-05	0.0012523481527864746	Glenn Berger	male
