writer	producer	coop	genderUncategorized_w	genderUncategorized_p	gender_writer	gender_producer
nm0004810	nm0319666	2	False	False	male	female
nm0004810	nm0341028	1	False	False	male	male
nm0004810	nm0705022	2	False	False	male	male
nm0004810	nm0923571	1	False	False	male	male
nm0005022	nm0563930	1	False	False	male	male
nm0005082	nm0041784	1	False	False	male	male
nm0005082	nm0074403	4	False	False	male	male
nm0005082	nm0123083	3	False	False	male	male
nm0005082	nm0245708	1	False	False	male	female
nm0005082	nm0355331	1	False	False	male	female
nm0005082	nm0357371	2	False	False	male	female
nm0005082	nm0423775	1	False	False	male	male
nm0005082	nm0461799	7	False	False	male	female
nm0005082	nm0507689	1	False	False	male	male
nm0005082	nm0514278	1	False	False	male	male
nm0005082	nm0615818	1	False	False	male	female
nm0005082	nm0624167	2	False	False	male	male
nm0005082	nm0679915	2	False	False	male	male
nm0005082	nm0732233	1	False	False	male	male
nm0005082	nm0833403	3	False	False	male	male
nm0005082	nm0936574	9	False	False	male	female
nm0005082	nm1188346	2	False	False	male	male
nm0005082	nm1188358	2	False	False	male	male
nm0005082	nm4071131	1	False	False	male	female
nm0005167	nm0752630	1	False	False	female	male
nm0005190	nm1038305	1	False	False	male	female
nm0005227	nm0732472	1	False	False	male	male
nm0005227	nm0796928	1	False	False	male	male
nm0005227	nm2479051	1	False	False	male	male
nm0005282	nm3558363	1	False	False	male	female
nm0005327	nm0496556	1	False	False	male	male
nm0005403	nm0056205	2	False	False	male	female
nm0006512	nm0688789	1	False	False	male	male
nm0006554	nm0048739	1	False	False	male	male
nm0006554	nm0080021	1	False	False	male	female
nm0006554	nm0525831	3	False	False	male	female
nm0006554	nm0866082	1	False	False	male	female
nm0006554	nm1072208	1	False	False	male	male
nm0006809	nm0066582	2	False	False	male	male
nm0006809	nm0140078	1	False	False	male	female
nm0006809	nm0536841	1	False	False	male	female
nm0006809	nm0714851	1	False	False	male	female
nm0006809	nm0736462	1	False	False	male	male
nm0006809	nm0807685	1	False	False	male	female
nm0006809	nm0833403	1	False	False	male	male
nm0006809	nm0906943	1	False	False	male	female
nm0006809	nm0919043	1	False	False	male	female
nm0006815	nm0073706	1	False	False	male	male
nm0006815	nm0449189	1	False	False	male	female
nm0006815	nm0461799	1	False	False	male	female
nm0006815	nm0589412	1	False	False	male	male
nm0006815	nm0826291	1	False	False	male	female
nm0006878	nm0536841	1	False	False	male	female
nm0006878	nm0994468	1	False	False	male	male
nm0006878	nm1006158	1	False	False	male	male
nm0006997	nm0044857	1	False	False	male	male
nm0006997	nm0047458	2	False	False	male	male
nm0006997	nm0189777	1	False	False	male	male
nm0006997	nm0406220	1	False	False	male	male
nm0006997	nm2041101	1	False	False	male	male
nm0006997	nm2640743	1	False	False	male	female
nm0006997	nm3428652	2	False	False	male	male
nm0007029	nm0376212	2	False	False	male	male
nm0007029	nm0408417	1	False	False	male	male
nm0007029	nm1431939	1	False	False	male	male
nm0007029	nm2038407	1	False	False	male	male
nm0007029	nm5484242	1	False	False	male	male
nm0007091	nm0200637	1	False	False	male	female
nm0007091	nm0381868	1	False	False	male	male
nm0007091	nm0385426	1	False	False	male	male
nm0007091	nm0398851	1	False	False	male	male
nm0007091	nm1376081	1	False	False	male	male
nm0007091	nm2109010	1	False	False	male	female
nm0007091	nm2636898	1	False	False	male	male
nm0007158	nm0040957	1	False	False	male	male
nm0007233	nm0343379	1	False	False	male	male
nm0007233	nm0548741	1	False	False	male	male
nm0007832	nm0805480	2	False	False	female	male
nm0007832	nm4867712	2	False	False	female	male
nm0008003	nm0750313	1	False	False	male	female
nm0008003	nm2381405	1	False	False	male	female
nm0008036	nm0081960	1	False	False	male	male
nm0008036	nm0135359	1	False	False	male	female
nm0008036	nm0386832	1	False	False	male	male
nm0008036	nm0479735	1	False	False	male	male
nm0008036	nm0572633	2	False	False	male	female
nm0008036	nm1140110	5	False	False	male	female
nm0008036	nm2743157	1	False	False	male	male
nm0008036	nm3558363	2	False	False	male	female
nm0008036	nm8516120	2	False	False	male	female
nm0008053	nm0076006	1	False	False	male	male
nm0008053	nm0665798	1	False	False	male	male
nm0008743	nm0099002	1	False	False	male	male
nm0008743	nm0851740	1	False	False	male	female
nm0009145	nm0481276	1	False	False	male	male
nm0009178	nm0007096	1	False	False	female	female
nm0009178	nm0240794	1	False	False	female	male
nm0009178	nm0401205	1	False	False	female	female
nm0009178	nm0658402	1	False	False	female	female
nm0009178	nm1131421	1	False	False	female	female
nm0009178	nm2186058	1	False	False	female	male
nm0009190	nm0026442	1	False	False	male	male
nm0009190	nm0135235	7	False	False	male	female
nm0009190	nm0161457	3	False	False	male	female
nm0009190	nm0221026	1	False	False	male	female
nm0009190	nm0321877	1	False	False	male	male
nm0009190	nm0395271	1	False	False	male	male
nm0009190	nm0576182	1	False	False	male	male
nm0009190	nm0767269	1	False	False	male	male
nm0009190	nm0842488	1	False	False	male	female
nm0009190	nm0870295	1	False	False	male	male
nm0009190	nm0872823	2	False	False	male	male
nm0009190	nm0929955	4	False	False	male	male
nm0009190	nm1063802	2	False	False	male	female
nm0009190	nm1206844	1	False	False	male	male
nm0009190	nm2489727	1	False	False	male	female
nm0009921	nm0036896	1	False	False	male	male
nm0010004	nm0857714	3	False	False	male	female
nm0011814	nm0873104	1	False	False	male	male
